,example_accuracy,example_f1,example_precision,example_recall,example_subset_accuracy,fold,label_accuracy_macro,label_accuracy_micro,label_f1_macro,label_f1_micro,label_precision_macro,label_precision_micro,label_recall_macro,label_recall_micro,model
rnn_slf_fold7,0.4272,0.4478,0.4706,0.4272,0.3866,7,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
rnn_slf_fold8,0.4272,0.4478,0.4706,0.4272,0.3866,8,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
rnn_slf_fold9,0.4272,0.4478,0.4706,0.4272,0.3866,9,0.7969,0.7969,0.2280,0.4594,0.3550,0.5294,0.1680,0.4058,rnn
transformer_slf_fold1,0.6022,0.6395,0.6765,0.6064,0.5210,1,0.8627,0.8627,0.4288,0.6260,0.8383,0.6777,0.2881,0.5816,transformer
transformer_slf_fold10,0.6457,0.6820,0.7227,0.6457,0.5714,10,0.8768,0.8768,0.4599,0.6615,0.8382,0.7227,0.3168,0.6099,transformer
transformer_slf_fold2,0.6246,0.6591,0.6975,0.6246,0.5546,2,0.8711,0.8711,0.4407,0.6489,0.5803,0.7025,0.3553,0.6028,transformer
transformer_slf_fold3,0.6289,0.6651,0.7059,0.6289,0.5546,3,0.8711,0.8711,0.4458,0.6462,0.8448,0.7059,0.3028,0.5957,transformer
transformer_slf_fold4,0.6246,0.6679,0.7017,0.6373,0.5378,4,0.8697,0.8697,0.4233,0.6464,0.7266,0.6967,0.2986,0.6028,transformer
transformer_slf_fold5,0.6415,0.6759,0.7143,0.6415,0.5714,5,0.8754,0.8754,0.4164,0.6590,0.7032,0.7167,0.2958,0.6099,transformer
transformer_slf_fold6,0.6625,0.6989,0.7395,0.6625,0.5882,6,0.8824,0.8824,0.4736,0.6769,0.8482,0.7395,0.3285,0.6241,transformer
transformer_slf_fold7,0.6317,0.6698,0.7059,0.6373,0.5546,7,0.8725,0.8725,0.4505,0.6540,0.8213,0.7049,0.3104,0.6099,transformer
transformer_slf_fold8,0.6415,0.6797,0.7227,0.6415,0.5630,8,0.8768,0.8768,0.4417,0.6615,0.6743,0.7227,0.3284,0.6099,transformer
transformer_slf_fold9,0.6415,0.6806,0.7143,0.6499,0.5630,9,0.8754,0.8754,0.3855,0.6616,0.5399,0.7131,0.2997,0.6170,transformer
vlad_slf_fold1,0.47759107,0.6050609030717153,0.72689074,0.5182073,0.394958,1,0.8487394958110303,0.8487394958004378,0.3750481464885856,0.5714285665334468,0.7089837081864961,0.6486486486803019,0.2549603186696347,0.5106382979070468,vlad
vlad_slf_fold10,0.46778712,0.5881702950882188,0.70028013,0.50700283,0.38655463,10,0.8389355742432266,0.8389355742319476,0.3506140904685814,0.5381526055666844,0.5021164038808431,0.6203703704055212,0.2693452392111213,0.4751773050017604,vlad
vlad_slf_fold2,0.464986,0.6079547072283874,0.75910366,0.50700283,0.37815127,2,0.8473389355870583,0.8473389355763679,0.2903409662583465,0.5551020359666806,0.38174827761488034,0.6538461538794379,0.23425099328219023,0.48226950358281767,vlad
vlad_slf_fold3,0.46778712,0.5973756146943232,0.7184874,0.5112045,0.38655463,3,0.8375350140192547,0.8375350140078777,0.31156937781147,0.5396825347899346,0.3939393979041612,0.6126126126475123,0.2576884931906375,0.48226950358281767,vlad
vlad_slf_fold4,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,4,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,vlad
vlad_slf_fold5,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,5,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,vlad
vlad_slf_fold6,0.46638656,0.5862922925643617,0.71428573,0.49719888,0.394958,6,0.8417366946911705,0.8417366946800877,0.3344366485091969,0.5425101165949288,0.6611064207193972,0.6320754717328231,0.22383432662203398,0.4751773050017604,vlad
vlad_slf_fold7,0.52240896,0.6316997081318197,0.74369746,0.54901963,0.44537815,7,0.854341736706918,0.8543417366967179,0.3723067948980744,0.5839999951152,0.5669384080428558,0.6697247706725022,0.2771577392147834,0.5177304964881041,vlad
vlad_slf_fold8,0.429972,0.5659306812685909,0.7478992,0.45518208,0.36134455,8,0.8389355742432266,0.8389355742319476,0.3851709783614614,0.51882844708496,0.7558479536199751,0.6326530612619742,0.25843254079593164,0.439716312096474,vlad
vlad_slf_fold9,0.47058827,0.6157413187862121,0.7941176,0.5028011,0.4117647,9,0.8515406162589741,0.8515406162485779,0.3034304888459936,0.5546218439478144,0.5512544828187343,0.6804123711669677,0.2093253980587296,0.4680851064207031,vlad
