,example_accuracy,example_f1,example_precision,example_recall,example_subset_accuracy,fold,label_accuracy_macro,label_accuracy_micro,label_f1_macro,label_f1_micro,label_precision_macro,label_precision_micro,label_recall_macro,label_recall_micro,model
transformer_resnet_fold4,0.5994,0.6346,0.6639,0.6078,0.5294,4,0.8557,0.8557,0.4208,0.6084,0.8099,0.6557,0.2842,0.5674,transformer
transformer_resnet_fold5,0.6078,0.6426,0.6765,0.6120,0.5378,5,0.8599,0.8599,0.4259,0.6183,0.7974,0.6694,0.2906,0.5745,transformer
transformer_resnet_fold6,0.5784,0.6150,0.6513,0.5826,0.5042,6,0.8529,0.8529,0.3771,0.5977,0.8798,0.6500,0.2400,0.5532,transformer
transformer_resnet_fold7,0.6106,0.6426,0.6765,0.6120,0.5462,7,0.8613,0.8613,0.4209,0.6236,0.8096,0.6721,0.2844,0.5816,transformer
transformer_resnet_fold8,0.6443,0.6775,0.7143,0.6443,0.5714,8,0.8768,0.8768,0.4318,0.6641,0.8293,0.7190,0.2919,0.6170,transformer
transformer_resnet_fold9,0.6232,0.6572,0.6933,0.6246,0.5546,9,0.8669,0.8669,0.4528,0.6360,0.8270,0.6917,0.3118,0.5887,transformer
vlad_resnet_fold1,0.4257703,0.5777818962932706,0.8319328,0.44257703,0.3529412,1,0.854341736706918,0.8543417366967179,0.2851872113364761,0.53571428109096,0.8874643875114568,0.7228915662984469,0.16989087426708174,0.42553191493435943,vlad
vlad_resnet_fold10,0.43977594,0.5786033199863209,0.802521,0.45238099,0.3697479,10,0.8515406162589741,0.8515406162485779,0.30940321003129717,0.5350877146194982,0.8708508649367298,0.701149425321707,0.18812004092113446,0.4326241135154167,vlad
vlad_resnet_fold2,0.47619048,0.6169408787139249,0.8487395,0.48459384,0.40336135,2,0.8669467787226656,0.8669467787133481,0.31597162627622705,0.5814977926872247,0.9146464646768212,0.7674418604921579,0.19097222346883788,0.4680851064207031,vlad
vlad_resnet_fold3,0.4481793,0.579881501052768,0.68487394,0.5028011,0.34453782,3,0.8277310924514513,0.8277310924393875,0.30478321516163115,0.5214007732946752,0.4505411281741179,0.5775862069329667,0.23028273931488108,0.4751773050017604,vlad
vlad_resnet_fold4,0.45658267,0.49388095825292405,0.53781515,0.45658267,0.37815127,4,0.8151260504357037,0.8151260504227573,0.2823478998097437,0.4923076873825444,0.9229691876815432,0.5378151260892592,0.16666666792162702,0.45390070925858855,vlad
vlad_resnet_fold5,0.45938376,0.5875989736365226,0.789916,0.46778712,0.38655463,5,0.8571428571548619,0.8571428571448579,0.30949089504190014,0.5603448228563466,0.8970657277349791,0.7142857143171114,0.18700396950152876,0.4609929078396458,vlad
vlad_resnet_fold6,0.43977594,0.5694102647144758,0.75630254,0.45658267,0.37815127,6,0.8403361344671986,0.8403361344560177,0.30292230725535174,0.5128205080725401,0.8532059728229573,0.6451612903607354,0.1841517869538253,0.42553191493435943,vlad
vlad_resnet_fold7,0.46358544,0.591020948599032,0.79831934,0.4691877,0.394958,7,0.85574229693089,0.855742296920788,0.3139508833954099,0.5541125493948764,0.8844414292579245,0.7111111111432099,0.19084821552811607,0.45390070925858855,vlad
vlad_resnet_fold8,0.45518208,0.5848739812457602,0.6554622,0.5280112,0.33613446,8,0.829131652675423,0.8291316526634576,0.3305822295941983,0.5343511401028495,0.5856707327008055,0.5785123967290485,0.23028273931976387,0.4964539007449323,vlad
vlad_resnet_fold9,0.49719888,0.6370384196059817,0.73109245,0.5644258,0.3697479,9,0.8515406162589741,0.8515406162485779,0.402453707130696,0.5891472818968211,0.7217529571650892,0.6495726496026006,0.2790178583354278,0.539007092231276,vlad
